type,latitude,longitude
T,59.4747241866,18.2720398513
T,59.4772758479,18.2699199065
T,59.4754139784,18.2672588154
T,59.4776856349,18.2683732135
T,59.4789585253,18.2689207882
T,59.4803421073,18.2710329278
T,59.4826560774,18.2714362829
T,59.4857806313,18.2704241842
T,59.4872474858,18.2708383051
T,59.4897689458,18.2718674538
T,59.4910254371,18.2685410263
T,59.4878898775,18.2707364058
T,59.4856099502,18.2737412515
T,59.4854278588,18.2734053532
T,59.4826922451,18.2715336026
T,59.482530127,18.273038822
T,59.4822330227,18.271334279
T,59.4820850735,18.2730385486
T,59.4853569514,18.2750478747
T,59.483357079,18.2765548822
