type,latitude,longitude
T,59.469336237030305,18.279168278776776
T,59.47097605380345,18.2790983536933
T,59.46690408690664,18.280097668881695
T,59.47005034981731,18.283813531667366
T,59.47470496550325,18.28762093355408
T,59.47725179972105,18.289807634292853
T,59.47670385991278,18.28858085993265
T,59.47483111687214,18.293206691163235
T,59.477756560408665,18.291825898285918
T,59.48078836660725,18.292274884283795
T,59.477405884311544,18.295811832024015
T,59.48059841946334,18.298117375024685
T,59.48243768792308,18.30168721390025
T,59.48264567811693,18.306235802857834
T,59.47866000453228,18.301757797813245
T,59.48217490293189,18.297619215759873
T,59.48205886690874,18.298603429884473
T,59.48582369806044,18.298036546868204
T,59.485484257695994,18.29909519507264
T,59.48090095149659,18.296265466989446
